,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,30.0,14,1,0.0,40.0,7.0,6.0,2.0,7.0,32.0,22.0,43.0,1954
2,Hearts,30.0,9,3,3.0,42.0,24.0,7.0,3.0,5.0,28.0,21.0,38.0,1954
3,Partick Thistle,30.0,9,0,6.0,42.0,22.0,8.0,1.0,6.0,34.0,32.0,35.0,1954
4,Rangers,30.0,9,4,2.0,35.0,11.0,4.0,4.0,7.0,21.0,24.0,34.0,1954
5,Hibernian,30.0,9,1,5.0,38.0,18.0,6.0,3.0,6.0,34.0,33.0,34.0,1954
6,East Fife,30.0,11,3,1.0,37.0,13.0,2.0,5.0,8.0,18.0,32.0,34.0,1954
7,Dundee,30.0,11,3,1.0,31.0,12.0,3.0,3.0,9.0,15.0,35.0,34.0,1954
8,Clyde,30.0,8,1,6.0,36.0,36.0,7.0,3.0,5.0,28.0,31.0,34.0,1954
9,Aberdeen,30.0,10,2,3.0,36.0,14.0,5.0,1.0,9.0,30.0,37.0,33.0,1954
10,Queen of the South,30.0,10,2,3.0,50.0,28.0,4.0,2.0,9.0,22.0,30.0,32.0,1954
11,St. Mirren,30.0,7,3,5.0,27.0,22.0,5.0,1.0,9.0,17.0,32.0,28.0,1954
12,Raith Rovers,30.0,7,3,5.0,37.0,21.0,3.0,3.0,9.0,19.0,39.0,26.0,1954
13,Falkirk,30.0,5,5,5.0,31.0,31.0,4.0,2.0,9.0,16.0,30.0,25.0,1954
14,Stirling Albion,30.0,8,1,6.0,27.0,21.0,2.0,3.0,10.0,12.0,41.0,24.0,1954
15,Airdrieonians,30.0,4,5,6.0,29.0,35.0,1.0,0.0,14.0,12.0,57.0,15.0,1954
16,Hamilton Academical,30.0,4,1,10.0,17.0,35.0,0.0,2.0,13.0,12.0,59.0,11.0,1954
